Nama Kost,Wilayah,Harga,Ukuran (m2),Jumlah Fasilitas,Segmen_Pasar,all_facilities_bs
Kost Menteng Royale Standar Cikarang Selatan Bekasi,Bekasi,Rp 3.000.000,20.0,30,Premium,4 x 5 meter; Tidak termasuk listrik; AC; Kasur; Dispenser; Meja; Meja Rias; TV; Kulkas; Lemari Baju; Ventilasi; Bantal; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; Bak mandi; Bathtub; WiFi; R. Cuci; Laundry; Mesin Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Merah 3 Petak Cibinong Bogor,Bogor,Rp 1.000.000,24.0,15,Ekonomis,8 x 3 meter; Tidak termasuk listrik; Ventilasi; Dapur Pribadi; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; Laundry; R. Jemur; Mushola; Dapur; Balcon; Jemuran; Parkir Motor
Kost Merah Delima A4 Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 1.550.000,9.0,17,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Kulkas; Kipas Angin; Bantal; Cermin; Jendela; Kloset Duduk; K. Mandi Luar; Bak mandi; WiFi; R. Cuci; R. Jemur; Jual Makanan; Jemuran; Parkir Motor
Kost Merah Tipe B Cibinong Bogor,Bogor,Rp 1.000.000,32.0,17,Ekonomis,8 x 4 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Ventilasi; Kipas Angin; Dapur Pribadi; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; Laundry; R. Jemur; Mushola; Dapur; Jemuran; Parkir Motor
Kost Meranti The Home Deluxe Cikarang Barat Bekasi,Bekasi,Rp 1.100.000,9.0,28,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Luar; Ember mandi; Wastafel; Shower; Bak mandi; WiFi; Kulkas; R. Cuci; R. Tamu; Mushola; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Metta Kramatjati Jakarta Timur,Jakarta Timur,Rp 1.500.000,9.0,24,Premium,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kulkas; Kursi; Wastafel; Cleaning service; Bantal; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Shower; Air panas; WiFi; R. Tamu; R. Jemur; Dapur; Dispenser; Pengurus Kos; Jemuran; Parkir Motor; Parkir Sepeda
Kost Meutia Tipe B Babelan Bekasi,Bekasi,Rp 1.100.000,12.0,12,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja Rias; Kulkas; Lemari Baju; Bantal; Guling; K. Mandi Dalam; Kloset Jongkok; Shower; Laundry; Parkir Motor
Kost Mewah Cendana Suite Cileungsi Bogor,Bogor,Rp 1.900.000,16.0,20,Ekonomis,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; Dapur; Balcon; Jemuran; Parkir Mobil; Parkir Motor & Sepeda
Kost MG Resident Grogol Petamburan Jakarta Barat,Jakarta Barat,Rp 2.600.000,12.0,24,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Bantal; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Kulkas; Penjaga Kos; R. Tamu; Dapur; Dispenser; CCTV; Kartu Akses; Pengurus Kos; Rooftop; Parkir Mobil; Parkir Motor & Sepeda
Kost Mianma Executive Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 860.000,9.360000000000001,23,Ekonomis,2.6 x 3.6 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Jendela; Kipas Angin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; R. Tamu; R. Jemur; R. Santai; Balcon; CCTV; Gazebo; Jemuran; Taman; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Miko Benda Tangerang,Tangerang,Rp 1.250.000,12.0,13,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Tamu; R. Jemur; R. Santai; Dapur; TV; Parkir Motor
Kost Milenial Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 1.400.000,12.0,21,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Jemur; Dapur; Balcon; Jemuran; CCTV; Parkir Motor; Parkir Sepeda
Kost Milenial Tipe F Pondok Aren Tangerang Selatan,Tangerang Selatan,Rp 1.600.000,16.0,25,Standar,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Cleaning service; Bantal; Cermin; Guling; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; R. Makan; R. Jemur; R. Santai; Dapur; Parkir Motor; Parkir Sepeda
Kost Mimi Tipe C Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 2.000.000,9.0,18,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; TV; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Kloset Duduk; K. Mandi Luar; WiFi; R. Tamu; R. Makan; Dapur; Kartu Akses; Parkir Motor
Kost Mimi Tipe I Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 2.100.000,9.0,27,Premium,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Dapur Pribadi; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; R. Cuci; R. Tamu; Laundry; Penjaga Kos; R. Makan; Mushola; R. Jemur; R. Santai; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Mimos Tipe B Ciputat Timur Tangerang Selatan,Tangerang Selatan,Rp 1.200.000,12.0,28,Premium,3 x 4 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; Air panas; WiFi; R. Cuci; Kulkas; R. Jemur; R. Santai; Dapur; Dispenser; Balcon; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Mimosa 1 Tipe WC Luar AC sharing Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 1.300.000,6.0,25,Ekonomis,2 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Cleaning service; Bantal; Jendela; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; R. Cuci; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Makan; R. Jemur; R. Santai; Dapur; Dispenser; Parkir Motor; Parkir Sepeda
Kost Mina Ciracas Jakarta Timur,Jakarta Timur,Rp 1.000.000,12.0,14,Ekonomis,3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Dapur; CCTV; Parkir Motor
Kost Mindi 41 Tipe B Koja Jakarta Utara,Jakarta Utara,Rp 1.600.000,12.0,21,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Santai; Dapur; Dispenser; TV; K. Mandi Luar; CCTV; Pengurus Kos; Parkir Motor
Kost Mirasony 1 Cileungsi Bogor,Bogor,Rp 700.000,9.0,26,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; Penjaga Kos; R. Tamu; Laundry; Mushola; R. Jemur; R. Makan; Parkir Sepeda; Parkir Motor
Kost Mirasony 2 Tipe A Cileungsi Bogor,Bogor,Rp 800.000,9.0,23,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Dispenser; Lemari Baju; Kulkas; Ventilasi; Bantal; Cermin; Guling; Meja makan; Sofa; Kloset Duduk; K. Mandi Luar; Ember mandi; WiFi; R. Cuci; Mesin Cuci; Penjaga Kos; R. Tamu; Mushola; R. Jemur; R. Makan; R. Santai; Parkir Motor & Sepeda
Kost Modern Byyu Sentulcity Eksklusif Babakan Madang Bogor,Bogor,Rp 1.850.000,12.0,29,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Bantal; Cermin; Cleaning service; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Air panas; WiFi; Kulkas; Penjaga Kos; R. Tamu; Laundry; Mushola; R. Makan; R. Santai; Dapur; Dispenser; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Mommy Cikarang Utara Bekasi,Bekasi,Rp 1.600.000,10.5,13,Ekonomis,3 x 3.5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kursi; Cermin; K. Mandi Dalam; Kloset Duduk; Shower
Kost Moza 1 Tipe A Karawaci Tangerang,Tangerang,Rp 700.000,9.0,27,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Cermin; Jendela; Cleaning service; Dapur Pribadi; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Ember mandi; Shower; Bak mandi; WiFi; R. Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Murni 3 Tipe A Penjaringan Jakarta Utara,Jakarta Utara,Rp 2.300.000,9.0,26,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; TV Kabel; Bantal; Cermin; Guling; Jendela; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; R. Cuci; Kulkas; R. Tamu; Mesin Cuci; Penjaga Kos; Laundry; R. Makan; R. Jemur; R. Santai; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Muslimah Maharani Cibinong Bogor,Bogor,Rp 1.400.000,9.0,13,Ekonomis,3 x 3 meter; Termasuk listrik; AC; Meja; Lemari Baju; Bantal; Guling; Kloset Duduk; Ember mandi; Shower; Kulkas; R. Tamu; Dapur; Jemuran; Balcon
Kost Muslimah Nuy Tipe Single Dramaga Bogor,Bogor,Rp 750.000,9.0,24,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Kulkas; Ventilasi; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Penjaga Kos; R. Tamu; R. Jemur; R. Santai; Dapur; Balcon; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Muslimah Rumah Nadine Tipe B Pasar Minggu Jakarta Selatan,Jakarta Selatan,Rp 2.500.000,16.0,26,Standar,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Cermin; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; R. Santai; Dapur; Dispenser; Kartu Akses; Balcon; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Muslimah Sakinah Tipe Ac Beji Depok,Depok,Rp 1.400.000,12.0,24,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Taman; CCTV; Pengurus Kos; Parkir Motor; Parkir Sepeda
Kost Muslimah Sakinah Tipe Ac Single Beji Depok,Depok,Rp 1.300.000,9.0,24,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Jendela; Cermin; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Taman; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Muslimah Sakinah Tipe B Beji Depok,Depok,Rp 1.250.000,9.0,24,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Kipas Angin; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Taman; CCTV; Pengurus Kos; Parkir Motor; Parkir Sepeda
Kost Mutiara Jatiuwung Tangerang,Tangerang,Rp 1.000.000,27.0,10,Ekonomis,3 x 9 meter; Tidak termasuk listrik; Jendela; K. Mandi Dalam; Kloset Jongkok; R. Cuci; R. Tamu; R. Jemur; Balcon; R. Keluarga; Parkir Motor; Parkir Motor & Sepeda
Kost Mutiara Kedasih I Cikarang Utara Bekasi,Bekasi,Rp 750.000,9.0,20,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Kipas Angin; Bantal; Cermin; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; Kulkas; R. Cuci; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Mutiara Kedasih II Cikarang Utara Bekasi,Bekasi,Rp 750.000,9.0,13,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Jendela; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Ember mandi; Parkir Motor; Parkir Sepeda
Kost Muwardi IIIA Residence Grogol Petamburan Jakarta Barat,Jakarta Barat,Rp 2.000.000,8.100000000000001,27,Premium,2.7 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Kulkas; R. Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; Dapur; Dispenser; CCTV; Parkir Motor; Parkir Sepeda
Kost MX Home Tipe B Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 1.300.000,9.0,29,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Kursi; Kipas Angin; Cleaning service; Meja makan; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Wastafel; Ember mandi; Shower; WiFi; R. Tamu; Mesin Cuci; Penjaga Kos; Laundry; R. Jemur; Dapur; Taman; R. Keluarga; Gazebo; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost My 1 Tipe B Penjaringan Jakarta Utara,Jakarta Utara,Rp 1.700.000,6.72,27,Premium,2.4 x 2.8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Kursi; Cermin; Jendela; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Wastafel; Shower; Air panas; WiFi; Kulkas; Laundry; R. Jemur; R. Santai; Dapur; Dispenser; CCTV; Jemuran; Pengurus Kos; Parkir Motor & Sepeda
Kost My 2 Tipe A Penjaringan Jakarta Utara,Jakarta Utara,Rp 2.500.000,6.72,28,Premium,2.4 x 2.8 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Wastafel; Shower; Air panas; WiFi; Kulkas; Laundry; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Balcon; Parkir Sepeda
Kost My Room VVIP Gunung Putri Bogor,Bogor,Rp 2.000.000,18.0,16,Premium,3 x 6 meter; Termasuk listrik; AC; Kasur; Meja; TV; Kulkas; Lemari Baju; Bantal; Cermin; Guling; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; Parkir Mobil; Parkir Motor
Kost My Suite Ciputat Tangerang Selatan,Tangerang Selatan,Rp 1.000.000,16.0,21,Standar,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; TV; Lemari Baju; Bantal; Cermin; Guling; Jendela; Dapur Pribadi; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; Shower; WiFi; Dapur; CCTV; Taman; Balcon; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost My VIP Penjaringan Jakarta Utara,Jakarta Utara,Rp 1.700.000,9.0,27,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Dispenser; Kulkas; Lemari Baju; Ventilasi; Bantal; Cleaning service; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Wastafel; Shower; WiFi; R. Cuci; Laundry; Penjaga Kos; R. Jemur; R. Makan; Dapur; Balcon; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Myah Make Yourself At Home Tipe B Taman Sari Jakarta Barat,Jakarta Barat,Rp 2.800.000,14.0,18,Premium,3.5 x 4 meter; Tidak termasuk listrik; AC; Kasur; TV; Meja Rias; Lemari Baju; Wastafel; TV Kabel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Penjaga Kos; Laundry; Kartu Akses; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost N Tipe B Cempaka Putih Jakarta Pusat,Jakarta Pusat,Rp 3.000.000,16.0,24,Premium,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Meja Rias; Lemari Baju; Kursi; Wastafel; Cleaning service; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Cuci; R. Tamu; Laundry; R. Jemur; R. Santai; Taman; Balcon; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost N2 Beji Depok,Depok,Rp 1.000.000,12.0,15,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Jemur; Dapur; CCTV; Jemuran; Parkir Motor
Kost NA Tipe AC Executive Pamulang Tangerang Selatan,Tangerang Selatan,Rp 1.400.000,20.0,21,Standar,4 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Penjaga Kos; Mushola; Pengurus Kos; Jual Makanan; Rice Cooker; Parkir Mobil; Parkir Motor & Sepeda
Kost Nabila Cibodas Tangerang,Tangerang,Rp 850.000,9.0,15,Ekonomis,3 x 3 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Cleaning service; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Jemur; Dapur; CCTV; Pengurus Kos; Jemuran; Parkir Motor; Parkir Sepeda
Kost Naf Tipe A Limo Depok,Depok,Rp 1.500.000,9.0,25,Premium,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; R. Cuci; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Balcon; Parkir Motor & Sepeda
Kost Nakula 1 Tipe A Cikarang Selatan Bekasi,Bekasi,Rp 1.600.000,9.0,26,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; Dapur; Dispenser; Jemuran; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Nala Tipe Gold Pesanggrahan Jakarta Selatan,Jakarta Selatan,Rp 2.100.000,23.099999999999998,27,Standar,3.3 x 7 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; Guling; Jendela; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Kulkas; Laundry; Penjaga Kos; R. Jemur; R. Makan; Dapur; Dispenser; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Nali House Tipe B Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 1.400.000,9.0,26,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Kursi; Jendela; Kloset Duduk; K. Mandi Luar; Wastafel; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; R. Tamu; R. Jemur; Dapur; CCTV; Jemuran; TV; Parkir Sepeda; Parkir Motor & Sepeda
Kost Nama Coliving Cikarang Utara Bekasi,Bekasi,Rp 1.700.000,12.0,26,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; Kursi; Cermin; Cleaning service; Guling; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; Laundry; R. Makan; R. Santai; Dapur; Dispenser; CCTV; Kartu Akses; Rice Cooker; Parkir Mobil; Parkir Motor; Parkir Motor & Sepeda
Kost Nama Home Tipe A Pondok Aren Tangerang Selatan,Tangerang Selatan,Rp 1.300.000,12.0,22,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Cuci; Penjaga Kos; R. Jemur; R. Makan; Dapur; Dispenser; CCTV; Jemuran; Parkir Motor; Parkir Sepeda
Kost Narendras House Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 2.000.000,9.0,22,Ekonomis,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; R. Cuci; Mesin Cuci; Penjaga Kos; Mushola; R. Jemur; Dapur; Dispenser; Balcon; Jemuran; Rooftop; Parkir Motor
Kost Naviri Jatiuwung Periuk Tangerang,Tangerang,Rp 700.000,56.0,7,Ekonomis,2â€™7 x 8 meter; Tidak termasuk listrik; Dapur Pribadi; Jendela; K. Mandi Dalam; Kloset Jongkok; Dapur; Parkir Motor; Parkir Sepeda
Kost Nebi Home Stay Cimanggis Depok,Depok,Rp 1.675.000,14.0,17,Premium,3.5 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; Lemari Baju; Kursi; Cleaning service; Kloset Duduk; Air panas; WiFi; Kulkas; R. Tamu; R. Jemur; Dapur; TV; Parkir Mobil; Parkir Motor
Kost New Beyem Cibubur Tipe Executive Gunung Putri Bogor,Bogor,Rp 1.300.000,9.0,23,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Ventilasi; Bantal; Jendela; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Ember mandi; Wastafel; Shower; WiFi; Kulkas; Laundry; Dapur; Dispenser; Balcon; Gazebo; Jemuran; Jual Makanan; Pengurus Kos; Parkir Mobil; Parkir Motor
Kost Nias Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 1.900.000,9.0,25,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; Penjaga Kos; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Parkir Mobil; Parkir Motor
Kost Nicks Residence 1 Tipe Executive Pulo Gadung Jakarta Timur,Jakarta Timur,Rp 2.650.000,15.0,29,Premium,3 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Cermin; Jendela; Kipas Angin; Bantal; Cleaning service; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Air panas; WiFi; Kulkas; R. Cuci; Penjaga Kos; R. Tamu; R. Jemur; Dapur; CCTV; Jemuran; Jual Makanan; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Nikros Coliving BSD Tipe A Serpong Tangerang Selatan,Tangerang Selatan,Rp 2.200.000,12.0,23,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Jendela; Kursi; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; R. Tamu; R. Makan; Dapur; Balcon; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Nine Living Tipe A Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 1.400.000,9.0,23,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Bantal; Jendela; Wastafel; Guling; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Kulkas; R. Jemur; Dapur; CCTV; Jemuran; Pengurus Kos; Balcon; Parkir Mobil; Parkir Motor
Kost NJ AC Karawaci Tangerang,Tangerang,Rp 1.200.000,14.0,19,Ekonomis,3.5 x 4 meter; Tidak termasuk listrik; AC; Kasur; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; K. Mandi Dalam; Ember mandi; Shower; Penjaga Kos; Dapur; Dispenser; Balcon; Jual Makanan; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Noeks Cinere Depok,Depok,Rp 1.700.000,7.5,12,Ekonomis,2.5 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Cermin; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; Parkir Motor
Kost Norita Tipe A Benda Tangerang,Tangerang,Rp 2.000.000,12.0,17,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Tamu; Laundry; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Norita Tipe C Benda Tangerang,Tangerang,Rp 1.800.000,12.0,17,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; R. Tamu; Laundry; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda
